	Dominant_Topic	Topic_Keywords	Num_Documents	Perc_Documents
318	3.0	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°		
319	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
320	17.0	pm, 7, 5, 6, started, 8, 1, 330, 430, 630		
321	1.0	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog		
322	7.0	pm, 3, 2, 4, 11, lot, windy, intermittent, 8, 49		
323	14.0	thunder, pm, rain, lightning, early, began, heard, heavier, east, observed		
324	12.0	late, early, trace, 0000”, light, 0700, observed, precipitation, data, windshield		
325	1.0	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog		
326	12.0	late, early, trace, 0000”, light, 0700, observed, precipitation, data, windshield		
327	5.0	minute, hour, 9, 10, 45, 24, period, 67, 71, 72		
328	3.0	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°		
329	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
330	13.0	mph, clear, 02, 14, 03, 0, 13, 23, 72°, 25		
331	1.0	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog		
332	11.0	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle		
333	1.0	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog		
334	20.0	acurite, starting, taylor, shower, acurite2, acurite1, 001, torrent, midnight, 002		
335	7.0	pm, 3, 2, 4, 11, lot, windy, intermittent, 8, 49		
336	4.0	gauge, rain, event, read, neighbor, town, wet, empty, broken, 27		
337	8.0	calm, clear, overcast, 01, cloudy, 78°, 77°, 74°, partly, 79°		
338	15.0	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple		
339	1.0	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog		
340	15.0	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple		
341	11.0	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle		
342	11.0	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle		
343	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
344	21.0	raining, time, reading, started, 7am, rained, read, hard, sprinkling, stopped		
345	1.0	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog		
346	21.0	raining, time, reading, started, 7am, rained, read, hard, sprinkling, stopped		
347	2.0	light, sprinkle, rain, early, pm, falling, continued, ended, 0530, 0500		
